checkInDate,checkOutDate,dislikedText,hotelId,Staff score,Facilities,Cleanliness,Comfort,Value for money,Location,Free Wifi,id,likedText,numberOfNights,rating,reviewLanguage,reviewTitle,stayRoomId,travelerType,userLocation,userName
6/3/2025,6/7/2025,"Below average breakfast, big spread but oddly it was very ordinary. Dated hotel, could do with some renovation, feels a bit like hostel, no air conditioning (but that seems to be a thing in Prague and we weren’t aware of it, so that’s not the hotel’s fault), rooms are very small and a bit uncomfortable if you’re a couple and have some luggage.",77040,9.712342262,8.872398376,9.277745247,9.20836544,9.117124557,9.71889782,9.139844894,738d75919b420ca7,"Location is great, rooms are clean, staff is pleasant and friendly",4,5,xu,Strictly ok,7704007,Couple,United States,V
6/5/2025,6/8/2025,Nothing!,77040,9.712342262,8.872398376,9.277745247,9.20836544,9.117124557,9.71889782,9.139844894,c17c612d0a3892ed,"The breakfast was so good and tasty!
The room was very comfortable!
Staff is really kind and friendly.",3,10,xu,,7704023,Family,Vietnam,Volodymyr
5/9/2025,5/13/2025,People/staff smoke in the street outside the main entrance doors and our room was located above that area. If we opened the windows to get fresh air smoke would drift in,77040,9.712342262,8.872398376,9.277745247,9.20836544,9.117124557,9.71889782,9.139844894,51eb710726942221,"Rooms was clean and spacious. Breakfast was good, location was central with easy access to the historic town and main touristic points in Prague. Hotel had a good ambiance and the staff were friendly and ready to help",4,9,en,Great place to stay,7704022,Couple,Australia,Antonio
6/2/2025,6/5/2025,"Almost every thing is old, dirty and uncomfortable. There was no air conditioning system in the hotel. We couldn’t sleep all three nights during our stay  Due to very loud noise from outside continuing until morning. Carpets dirty. Bed is not comfortable. There wasn’t any closet in the room or bathroom. During checkout, they tried to rug you to give them five stars in the booking. I got the impression that they were trying to prevent people from leaving comments on Booking because they asked us to give them 5 stars right there on our phones, saying it would only take a few seconds. They try to compensate for all the hotel's shortcomings with the simple gifts they give during check-in and check-out. Just a disapppointment",77040,9.712342262,8.872398376,9.277745247,9.20836544,9.117124557,9.71889782,9.139844894,49cb5001e75fbaec,The only advantage of the hotel is its location.,3,2,en,"Don't be fooled by the high rating, stay away from this hotel.",7704007,Couple,Netherlands,I?brahim
5/30/2025,6/4/2025,"I had booked a standard double room but what we got was so tiny it was difficult to move around in it. Also it was incredibly noisy at night with people having fun just outside our window. The shower was very slippery and on the very first night I slipped and hit my foot against the door. We tried calling the reception for help but they never answered our call. I ended up taking an Uber to a hospital the next day, which cost me quite some money. When I asked for a form to document the incident, they said their policy was that they were not responsible for anything that happened within the room. I had to spend most of my holiday in the room because my ankle was very badly sprained and painful. Most of the staff were not very friendly. The breakfast was plentiful and varied but not very tasty. The hotel itself was extraordinarily plain. There was a little courtyard that was pleasant but the ground was very uneven and after falling in the shower I was scared I would fall in the courtyard. I would never stay at that hotel again - mainly because the staff were not welcoming.",77040,9.712342262,8.872398376,9.277745247,9.20836544,9.117124557,9.71889782,9.139844894,3aec62f8a7a03d83,"Very convenient location, close to attractions",5,3,en,Extremely unpleasant,7704007,Group,Netherlands,Niala
5/27/2025,5/30/2025,Nothing,77040,9.712342262,8.872398376,9.277745247,9.20836544,9.117124557,9.71889782,9.139844894,7b32f24e64c6ff79,"Clean, staff was friendly and helpful. Excellent location and delicious breakfast",3,10,en,Great,7704007,Family,Turkey,Sevda
5/26/2025,5/30/2025,,77040,9.712342262,8.872398376,9.277745247,9.20836544,9.117124557,9.71889782,9.139844894,0a8dce08768a669f,"Overall, it was a really great hotel and wonderful staff. Large breakfast selection. The pillows were quite high but that only matters depending on your sleeping position. The room is not very well isolated as we could hear everything in the hallway through the door.",4,8,en,,7704007,Family,Denmark,Michelle
5/30/2025,6/1/2025,Everything was perfect! Maybe smaller pillows will help.,77040,9.712342262,8.872398376,9.277745247,9.20836544,9.117124557,9.71889782,9.139844894,c29079f5effd3da4,Location and history.,2,10,xu,The staff went above and beyond. Location was perfect and the room was so bright with natural lighting!,7704022,Group,United States,Vesna
5/26/2025,5/29/2025,The closet space was limited. Rooms very small.,77040,9.712342262,8.872398376,9.277745247,9.20836544,9.117124557,9.71889782,9.139844894,4d7f84285b55d68f,The staff were very helpful and polite.,3,10,xu,Trip to Prague,7704022,Couple,Israel,Phyllis
5/9/2025,5/15/2025,"no air conditioning, but in May it is not a problem.",77040,9.712342262,8.872398376,9.277745247,9.20836544,9.117124557,9.71889782,9.139844894,59a2c272b85b4132,"My husband and I stayed at the Adler Hotel for 6 nights in May 9-15, 2025. And everything was great! Everything, the staff, the room, the cleanliness, the excellent breakfast, the location - everything suited us absolutely.
Any request or question to the service staff did not go unnoticed. Whether it was a question of where to eat deliciously, or how best to get somewhere, or what time is best to visit this or that attraction.
For example, at the reception, we were advised to definitely visit the farmers' market, which is only open on Saturdays - thanks for the advice!
Without any problems or extra charges, we were provided with an early check-in and late check-out! Thank you for that too.
I would like to add that the first room provided seemed a bit cramped to us and we asked to show us an alternative option if possible. As a result, we received a spacious room for 4 people, consisting of two rooms with two double beds! The room was on the attic floor, but we liked it and preferred to stay in it. And, of course, again without extra charge!
Bed linen is changed every 3 days.
There is no air conditioning in the rooms, but in May it didn't bother us.
If you are a light sleeper, you can ask for a room on the upper floors and with windows not facing the bar in the neighboring building.
But in general, the hotel is in a great location, on a small side street, 6-7 minutes walk from the main Old Town Square with the astronomical clock.
3-4 minutes walk from a small shopping center and a Billa supermarket. By the way, Freud's head is also there.
2 minutes walk to the metro station.",6,10,xu,wonderful,7704007,Couple,Israel,Ludmila
