checkInDate,checkOutDate,dislikedText,hotelId,Staff score,Facilities,Cleanliness,Comfort,Value for money,Location,Free Wifi,id,likedText,numberOfNights,rating,reviewLanguage,reviewTitle,stayRoomId,travelerType,userLocation,userName
7/16/2024,7/20/2024,"No grill as stated in the ad.
Too much noise from accelerating cars and motorcycles. 
No top mattress on the double bed - hard as a rock, and a nerve is now stuck in my shoulder. 
Only one small minibar as a fridge (second minibar did not work). We did expect a kitchen with plates and cutlery. In our opinion one cannot define an area as a kitchen with just 4 wine glasses, 4 coffee cups, a microwave, a coffee machine and a sink. 
The carpet in the apartment is worn out, and the fabric on the sofa chairs do not fit after a supposedly wash some time ago.",7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,65c63c414c998ff1,"Size of apartment and balcony. Access to pools. Staff service.
Outdoor temperature and thick walls meant that we preferred open windows over air condition (so I cannot tell if it worked) - despite the massive noise from vehicles on the nearby road.
The area is quite nice for field trips somewhat close by, but surrounding buildings suggest that Poiana Brasov’s great days are on the return.",4,6,en,"Big but quite old and worn out apartment without a kitchen, lack of top mattress on double mattress and quite a bit of n",707480101,Family,Denmark,Iben
1/27/2024,1/29/2024,"The balconies doors should be repaired, the wind/cold comes in the rooms",7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,28566606c49e8e1b,Big & clean rooms,2,9,en,"The owner accepted early check in and late check out, as we were with a 4 months baby, also raised the temperature in th",707480101,Family,Romania,Iulia
6/25/2022,6/26/2022,"Owner of apartment didn't supply correct pin, leading to numerous trips to reception and 50 minutes delay in entering the room. Room is not a 4 Star accommodation: electrical sockets weren't all working, no coffee in apartment, no ironing board or iron, bar stocked poorly. Looked for electrical Distribution  Board and could only find an electrical meter. No RCD or RCBO while 220V sockets are installed in bathrooms next to the washbasin, to supply hairdrier!???
Unfortunately for us, an expensive experience, with nothing but pretentiousness and no substance to justify the inflated price, not refundable,  when booked months in advance.

Learned my lesson the hard way!",7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,a49b17445200ddd3,Size of apartment,1,1,en,Expensive pretentiousness,707480101,Group,United Kingdom,Emanuel
1/20/2025,1/24/2025,Frigul dintr-o baie,7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,a6852a33a581cce5,Confortul ?i calitatea,4,9,ro,,707480101,Family,Romania,Vasile
12/14/2024,12/15/2024,"Patul disconfortant, pernele de foarte proasta calitate, pracyic nu am reudit sa ne odihnin. Geamurile stricate. Lipsa minibar, lipsa capsulelor de cafea.",7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,0cb0e9c99e8800e6,Vederea din camera,1,6,ro,"Spatiile comune frumos decorate, camera disconfortanta.",707480101,Family,Romania,Clonda
9/21/2024,9/23/2024,"La piscina nu au mai îmbun?t??it nimic fata de cum stiam noi, wc murdare si vechi iar personalul de la piscina foarte dezagreabil.
In apartament aveam 2 aparate de cafea cu cesti , zahar , linguri?e dar lipsea ce era cel mai important cafeaua.
La baie curatenie superficiala si mirosea.
Dulapul din dresing nu avea cheie asa ca nu am avut cum sa il deschidem sa ne depozitam hainele si sa folosim seiful.
Salteaua patului foarte veche si inconfortabila.
Minibarul gol nici macar o apa plata nu avea.",7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,df7bce1828a1afef,"Ne place locatia foarte mult si zona Spa.
La restaurant personal amabil si mancare buna.",2,5,ro,Se putea si mai bine.,707480101,Couple,Romania,George
8/31/2024,9/4/2024,Kleinigkeiten,7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,c353384a65581e4c,"Sehr grosses Apartement mit 2 Bädern und grosser Balkon, Top Lage und Ausstattung des Hotels, Personal sehr hilfsbereit",4,9,de,Toller Aufenthalt,707480101,Family,Germany,Lx-hammer
8/9/2024,8/10/2024,Problemas con la TV. Creo que tienen que arreglar la antena o cambiar algún conector porque se veía muy mal.,7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,a00e4a251d46f509,"Ubicación, desayuno y piscina excelentes. También me gusta el piso. Es la segunda vez que reservo este piso y creo que habrá una tercera.",1,9,es,,707480101,Family,Spain,Ioan
8/14/2024,8/15/2024,Pre?,7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,a9fcb51a5207a229,Tot,1,9,ro,Sejur frumos in Poiana Bra?ov la hotel Alpin,707480101,Family,Romania,Mihail-gabriel
8/12/2024,8/14/2024,-,7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,bc8640c4dda1f6e6,Minden tökéletes,2,10,hu,,707480101,Couple,Hungary,László
